query_id,query_type,precision@1,mrr,map,ndcg@10,recall@10,recall@20
Q6_019,6,,,0.0,,0.0,0.0
Q6_020,6,,,0.0,,0.0,0.0
Q6_021,6,,,0.0,,0.0,0.0
Q6_022,6,,,0.0,,0.0,0.0
Q6_023,6,,,0.0,,0.0,0.0
Q6_024,6,,,0.0,,0.0,0.0
Q6_025,6,,,0.0,,0.0,0.0
Q6_026,6,,,0.0068,,0.0,0.0
Q6_027,6,,,0.0,,0.0,0.0
Q6_028,6,,,0.0001,,0.0,0.0
Q6_029,6,,,0.0,,0.0,0.0
Q6_030,6,,,0.0,,0.0,0.0
Q6_031,6,,,0.0018,,0.0,0.0
Q6_032,6,,,0.0163,,0.0,0.0022
Q6_033,6,,,0.0,,0.0,0.0
Q6_034,6,,,0.0,,0.0,0.0
Q6_035,6,,,0.0,,0.0,0.0
Q6_036,6,,,0.0,,0.0,0.0
Q6_037,6,,,0.0,,0.0,0.0
Q6_038,6,,,0.0,,0.0,0.0
Q6_039,6,,,0.0,,0.0,0.0
Q6_040,6,,,0.0,,0.0,0.0
Q6_041,6,,,0.0,,0.0,0.0
Q6_042,6,,,0.0,,0.0,0.0
Q6_043,6,,,0.0002,,0.0,0.0
Q6_044,6,,,0.0,,0.0,0.0
Q6_045,6,,,0.0,,0.0,0.0
Q6_046,6,,,0.0,,0.0,0.0
Q6_047,6,,,0.0,,0.0,0.0
Q6_048,6,,,0.0,,0.0,0.0
Q6_049,6,,,0.0,,0.0,0.0
Q6_050,6,,,0.0,,0.0,0.0
